,DISTRICT,STATUS,Year,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,WEP,REF
228,16,Active,2017,261317,66322,4298,1177,12528,508,89,78021,90.0,26.0
229,16,Active,2018,251841,62717,4039,1140,12216,584,92,76433,153.0,72.0
230,16,Inactive,2014,22452,5797,336,160,1329,43,4,7479,0.0,0.0
231,16,Inactive,2015,26351,5881,329,177,1372,44,9,8269,0.0,0.0
232,16,Inactive,2016,27512,6497,366,187,1494,43,11,9009,0.0,0.0
233,16,Inactive,2017,26484,5357,282,190,1398,47,10,8373,5.0,0.0
234,16,Inactive,2018,29544,6369,369,181,1430,54,16,9342,6.0,0.0
235,16,Total,2014,261787,69481,4880,1368,14503,403,75,75586,0.0,0.0
236,16,Total,2015,260783,68243,4763,1356,12944,433,75,77884,0.0,0.0
237,16,Total,2016,265730,69064,4759,1372,13268,467,80,80743,39.0,4.0
238,16,Total,2017,287801,71679,4580,1367,13926,555,99,86394,95.0,26.0
239,16,Total,2018,281385,69086,4408,1321,13646,638,108,85775,159.0,72.0
240,17,Active,2014,185510,99662,7558,1364,18915,636,63,98468,0.0,0.0
241,17,Active,2015,185992,98960,7517,1404,17511,716,61,101237,0.0,0.0
242,17,Active,2016,191483,100312,7556,1478,17770,735,71,103480,43.0,108.0
243,17,Active,2017,206107,106136,7393,1440,18555,835,104,109229,90.0,150.0
244,17,Active,2018,201872,102969,7728,1393,18013,807,97,106682,131.0,206.0
245,17,Inactive,2014,13949,7062,452,103,1519,78,6,8525,0.0,0.0
246,17,Inactive,2015,13255,6506,419,92,1384,71,6,7929,0.0,0.0
247,17,Inactive,2016,15952,7904,515,118,1674,87,10,9626,2.0,1.0
248,17,Inactive,2017,13112,6265,392,113,1442,76,11,8032,2.0,1.0
249,17,Inactive,2018,16792,8085,520,134,1658,110,13,10190,3.0,3.0
250,17,Total,2014,199459,106724,8010,1467,20434,714,69,106993,0.0,0.0
251,17,Total,2015,199247,105466,7936,1496,18895,787,67,109166,0.0,0.0
252,17,Total,2016,207435,108216,8071,1596,19444,822,81,113106,45.0,109.0
253,17,Total,2017,219219,112401,7785,1553,19997,911,115,117261,92.0,151.0
254,17,Total,2018,218664,111054,8248,1527,19671,917,110,116872,134.0,209.0
255,18,Active,2014,145155,133336,8530,1754,22506,894,205,99148,0.0,0.0
256,18,Active,2015,142851,131146,8556,1797,22242,919,233,99972,1.0,1.0
257,18,Active,2016,147018,131948,8683,1807,22386,1048,240,102402,49.0,45.0
258,18,Active,2017,156228,138187,8727,1811,23333,1172,343,105920,112.0,79.0
259,18,Active,2018,154331,135552,8585,1764,22973,1126,350,105443,157.0,104.0
260,18,Inactive,2014,12118,8533,489,163,1829,95,15,8342,0.0,0.0
261,18,Inactive,2015,12166,7916,479,189,1853,99,16,8464,0.0,0.0
262,18,Inactive,2016,13514,9324,597,210,2186,122,23,9584,0.0,1.0
263,18,Inactive,2017,8518,6400,362,123,1324,83,21,6361,6.0,1.0
264,18,Inactive,2018,12972,9506,574,196,1995,133,39,9418,9.0,4.0
265,18,Total,2014,157273,141869,9019,1917,24335,989,220,107490,0.0,0.0
266,18,Total,2015,155017,139062,9035,1986,24095,1018,249,108436,1.0,1.0
267,18,Total,2016,160532,141272,9280,2017,24572,1170,263,111986,49.0,46.0
268,18,Total,2017,164746,144587,9089,1934,24657,1255,364,112281,118.0,80.0
269,18,Total,2018,167303,145058,9159,1960,24968,1259,389,114861,166.0,108.0
270,19,Active,2014,131443,138118,10708,2274,26220,1714,223,114883,0.0,0.0
271,19,Active,2015,128600,135290,10800,2295,26270,1833,269,114748,0.0,2.0
272,19,Active,2016,132818,135193,10852,2264,26094,1749,287,114577,53.0,24.0
273,19,Active,2017,141583,141082,10731,2188,26617,1896,346,116809,104.0,54.0
274,19,Active,2018,141289,138473,10576,2155,26423,1867,360,114937,167.0,85.0
275,19,Inactive,2014,12980,9461,650,283,2654,215,29,11142,0.0,0.0
276,19,Inactive,2015,12268,8151,574,257,2409,202,30,10398,0.0,0.0
277,19,Inactive,2016,14435,9705,773,293,2830,231,48,12351,1.0,0.0
278,19,Inactive,2017,8539,6471,536,181,1851,134,33,7913,3.0,1.0
279,19,Inactive,2018,11503,8552,656,245,2350,209,37,10392,9.0,4.0
280,19,Total,2014,144423,147579,11358,2557,28874,1929,252,126025,0.0,0.0
281,19,Total,2015,140868,143441,11374,2552,28679,2035,299,125146,0.0,2.0
282,19,Total,2016,147253,144898,11625,2557,28924,1980,335,126928,54.0,24.0
283,19,Total,2017,150122,147553,11267,2369,28468,2030,379,124722,107.0,55.0
284,19,Total,2018,152792,147025,11232,2400,28773,2076,397,125329,176.0,89.0
285,20,Active,2014,171593,109822,10347,2212,25219,1066,360,102010,0.0,0.0
286,20,Active,2015,168070,107560,10442,2207,25202,1187,367,102755,3.0,0.0
287,20,Active,2016,172867,107273,10424,2166,25128,1229,336,103263,66.0,9.0
288,20,Active,2017,181586,110696,10377,2080,25728,1414,318,107990,138.0,47.0
289,20,Active,2018,178650,107575,10258,2098,25382,1452,295,107500,186.0,99.0
290,20,Inactive,2014,20953,9995,873,426,3100,208,92,13059,0.0,0.0
291,20,Inactive,2015,15053,6168,622,268,2173,132,109,8891,0.0,0.0
292,20,Inactive,2016,19664,8382,848,360,2850,175,131,12130,2.0,0.0
293,20,Inactive,2017,12141,5366,593,293,1902,120,65,8350,9.0,1.0
294,20,Inactive,2018,17920,7738,768,353,2570,189,75,11487,25.0,1.0
295,20,Total,2014,192546,119817,11220,2638,28319,1274,452,115069,0.0,0.0
296,20,Total,2015,183123,113728,11064,2475,27375,1319,476,111646,3.0,0.0
297,20,Total,2016,192531,115655,11272,2526,27978,1404,467,115393,68.0,9.0
298,20,Total,2017,193727,116062,10970,2373,27630,1534,383,116340,147.0,48.0
299,20,Total,2018,196570,115313,11026,2451,27952,1641,370,118987,211.0,100.0
300,21,Active,2014,116370,170047,5741,1707,24410,995,74,79965,0.0,0.0
301,21,Active,2015,113425,166243,5854,1698,24229,1056,70,80003,0.0,0.0
302,21,Active,2017,120064,169387,6013,1625,24723,1241,136,83683,52.0,53.0
303,21,Active,2018,117878,166307,5996,1589,24589,1243,201,83284,96.0,65.0
304,21,Inactive,2014,10892,11785,390,260,2680,149,18,10262,0.0,0.0
305,21,Inactive,2015,8671,9283,336,202,2242,138,22,8390,0.0,0.0
306,21,Inactive,2017,7491,8384,355,191,1986,120,22,7844,3.0,1.0
307,21,Inactive,2018,10560,11493,502,245,2646,175,25,10898,8.0,8.0
308,21,Total,2014,127262,181832,6131,1967,27090,1144,92,90227,0.0,0.0
309,21,Total,2015,122096,175526,6190,1900,26471,1194,92,88393,0.0,0.0
310,21,Total,2017,127555,177771,6368,1816,26709,1361,158,91527,55.0,54.0
311,21,Total,2018,128438,177800,6498,1834,27235,1418,226,94182,104.0,73.0
312,22,Active,2014,128554,159895,6480,1935,23172,1030,143,78057,0.0,0.0
313,22,Active,2015,124882,156875,6591,1910,23079,1094,190,78547,0.0,1.0
314,22,Active,2016,126691,156279,6636,1923,22867,1091,253,78287,45.0,7.0
315,22,Active,2018,127765,158621,6587,1818,23179,1179,377,80746,139.0,90.0
316,22,Inactive,2014,11949,9529,395,257,2460,152,21,9123,0.0,0.0
317,22,Inactive,2015,10873,8422,375,255,2229,132,18,8340,0.0,0.0
318,22,Inactive,2016,14145,11554,554,332,2952,186,46,11727,1.0,0.0
319,22,Inactive,2018,11143,9472,478,262,2183,144,49,8998,23.0,11.0
320,22,Total,2014,140503,169424,6875,2192,25632,1182,164,87180,0.0,0.0
321,22,Total,2015,135755,165297,6966,2165,25308,1226,208,86887,0.0,1.0
322,22,Total,2016,140836,167833,7190,2255,25819,1277,299,90014,46.0,7.0
323,22,Total,2018,138908,168093,7065,2080,25362,1323,426,89744,162.0,101.0
324,23,Active,2014,128917,155040,7123,2087,21844,1391,199,80699,0.0,0.0
325,23,Active,2015,125819,152146,7329,2091,21721,1469,249,81784,2.0,0.0
326,23,Active,2016,128055,151222,7404,2064,21489,1407,264,82007,39.0,9.0
327,23,Active,2017,131984,156240,7390,2023,21793,1492,331,84421,100.0,85.0
328,23,Active,2018,128565,153949,7342,1986,21646,1452,357,84173,136.0,93.0
329,23,Inactive,2014,13077,10282,485,301,2483,205,43,10272,0.0,0.0
330,23,Inactive,2015,9945,7974,401,251,1940,143,36,8020,0.0,0.0
331,23,Inactive,2016,12932,10670,575,327,2583,197,50,11039,1.0,0.0
332,23,Inactive,2017,7354,6026,349,160,1446,124,34,6392,5.0,1.0
333,23,Inactive,2018,11331,8808,510,232,2032,196,44,9399,14.0,8.0
334,23,Total,2014,141994,165322,7608,2388,24327,1596,242,90971,0.0,0.0
335,23,Total,2015,135764,160120,7730,2342,23661,1612,285,89804,2.0,0.0
336,23,Total,2016,140987,161892,7979,2391,24072,1604,314,93046,40.0,9.0
337,23,Total,2017,139338,162266,7739,2183,23239,1616,365,90813,105.0,86.0
338,23,Total,2018,139896,162757,7852,2218,23678,1648,401,93572,150.0,101.0
339,24,Active,2014,141823,140099,8431,1997,21958,1227,302,100647,0.0,0.0
340,24,Active,2015,138319,137516,8552,2003,21802,1294,361,101250,0.0,2.0
341,24,Active,2016,138622,136409,8591,1956,21486,1320,355,101399,32.0,16.0
342,24,Active,2017,146245,141619,8508,1893,22142,1391,468,104735,83.0,49.0
